Angel Stadium of Anaheim
Globe Life Park
Turner Field
Oriole Park at Camden Yards
Fenway Park
Wrigley Field
U.S. Cellular Field
Great American Ballpark
Progressive Field
Coors Field
Comerica Park
Minute Maid Park
Kauffman Stadium
Dodger Stadium
Marlins Park
Miller Park
Target Field
Citi Field
Yankee Stadium II
Oakland-Alameda County Coliseum
Citizens Bank Park
Chase Field
PNC Park
Petco Park
Safeco Field
AT&T Park
Busch Stadium III
Tropicana Field
Rogers Centre
Nationals Park
